group_id,dataset,orig_id,caption_id,caption_text,real_spatial_path,real_frequency_path
1,Flickr30k,1003420127,flickr-18,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments.",runs/prototype_20260326_210106_p8765/covers/real/g0001__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0001__src-real.jpg
2,COCO,000000542145,coco-000000542145,A toilet and a sink in small bathroom.,runs/prototype_20260326_210106_p8765/covers/real/g0002__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0002__src-real.jpg
3,COCO,000000483108,coco-000000483108,A man on a bicycle riding next to a train,runs/prototype_20260326_210106_p8765/covers/real/g0003__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0003__src-real.jpg
4,COCO,000000360772,coco-000000360772,A toilet sitting in a bathroom next to a sink.,runs/prototype_20260326_210106_p8765/covers/real/g0004__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0004__src-real.jpg
5,Flickr30k,100716317,flickr-26,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,runs/prototype_20260326_210106_p8765/covers/real/g0005__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0005__src-real.jpg
6,COCO,000000293802,coco-000000293802,A boy performing a kickflip on his skateboard on a city street.,runs/prototype_20260326_210106_p8765/covers/real/g0006__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0006__src-real.jpg
7,COCO,000000324266,coco-000000324266,The bathroom is clean for the guests to use.,runs/prototype_20260326_210106_p8765/covers/real/g0007__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0007__src-real.jpg
8,Flickr30k,1000268201,flickr-2,A child in a pink dress is climbing up a set of stairs in an entry way.,runs/prototype_20260326_210106_p8765/covers/real/g0008__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0008__src-real.jpg
9,COCO,000000166532,coco-000000166532,A white bath tub sitting next to a bathroom sink.,runs/prototype_20260326_210106_p8765/covers/real/g0009__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0009__src-real.jpg
10,Flickr30k,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,runs/prototype_20260326_210106_p8765/covers/real/g0010__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0010__src-real.jpg
11,Flickr30k,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,runs/prototype_20260326_210106_p8765/covers/real/g0011__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0011__src-real.jpg
12,COCO,000000113588,coco-000000113588,several young students working at a desk with multiple computers,runs/prototype_20260326_210106_p8765/covers/real/g0012__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0012__src-real.jpg
13,Flickr30k,1006452823,flickr-23,"Two children, a girl and a boy are practicing their writing.",runs/prototype_20260326_210106_p8765/covers/real/g0013__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0013__src-real.jpg
14,COCO,000000309022,coco-000000309022,A commercial stainless kitchen with a pot of food cooking.,runs/prototype_20260326_210106_p8765/covers/real/g0014__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0014__src-real.jpg
15,Flickr30k,1000344755,flickr-3,Someone in a blue shirt and hat is standing on stair and leaning against a window.,runs/prototype_20260326_210106_p8765/covers/real/g0015__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0015__src-real.jpg
16,COCO,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_210106_p8765/covers/real/g0016__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0016__src-real.jpg
17,COCO,000000269105,coco-000000269105,A white toilet sitting next to a green wall under a picture.,runs/prototype_20260326_210106_p8765/covers/real/g0017__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0017__src-real.jpg
18,COCO,000000051191,coco-000000051191,The view of a large bathroom with a walk in closet.,runs/prototype_20260326_210106_p8765/covers/real/g0018__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0018__src-real.jpg
19,COCO,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,runs/prototype_20260326_210106_p8765/covers/real/g0019__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0019__src-real.jpg
20,Flickr30k,100652400,flickr-24,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.,runs/prototype_20260326_210106_p8765/covers/real/g0020__src-real.png,runs/prototype_20260326_210106_p8765/covers/real/g0020__src-real.jpg
