detector,source,n_samples,n_pos,n_neg,roc_auc,eer,accuracy_at_youden_j,fpr_at_fixed_fnr
chi_square_spatial,ml_a,80,40,40,0.65875,0.3,0.7125,0.85
chi_square_spatial,ml_b,80,40,40,0.7175,0.35,0.725,0.65
chi_square_spatial,real,80,40,40,0.62875,0.45,0.625,0.8
rs,ml_a,80,40,40,1.0,0.0,1.0,0.0
rs,ml_b,80,40,40,1.0,0.0,1.0,0.0
rs,real,80,40,40,0.9,0.1,0.9125,0.1
sample_pairs,ml_a,80,40,40,1.0,0.0,1.0,0.0
sample_pairs,ml_b,80,40,40,1.0,0.0,1.0,0.0
sample_pairs,real,80,40,40,0.98875,0.05,0.95,0.05
